69a6f6821b8d6ced79dcb32f0d402e0795e09df5,taskName,taskNumber,taskURL,name,response,serial,latency,pristineLatency,declined,submitLatency,log_serial,trial_id,responseHandle,stimuli,media,data,block3Cond,feedback,d
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,consent,1,consent.jst,,,,,,,,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioVideoStart,2,,,,,,,,,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioVideoMain,3,,,,,,,,,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,4,socioQuestionsMain.js,,,,,,,,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,fullName,בבבבבב,0,6118.899999999907,2975.0999999998603,,22533.800000000047,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,sex,2,1,6805,6805,,22529.5,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,age,45,2,10850.90000000014,7869.700000000186,,22523.200000000186,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,countryBirth,כגעכגע,3,8913.199999999953,8598.600000000093,,22518.5,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,countryBirthOfParents,כעגכ,4,9380.600000000093,9124.899999999907,,22514.199999999953,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,education,1,5,12444.59999999986,12444.59999999986,,22512.399999999907,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,currentOccupation,כגע,6,13180.600000000093,13110.100000000093,,22507.699999999953,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,currentOccupationInYears,4,7,14177.800000000047,14177.800000000047,,22503.399999999907,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,familyStatus,1,8,15382.899999999907,15382.899999999907,,22501.899999999907,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,numberOfChildren,3,9,20547.100000000093,20547.100000000093,,22497.5,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,ministryOfDefenceBelongs,1,10,17461.5,17461.5,,22495.59999999986,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioQuestionsMain,,,religionStatus,1,11,18243,18243,,22493.199999999953,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,instimages,5,instimages.jst,,,,,,,,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,6,socioRateImagesSizes.js,,,,,,,,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people1,,12,,,true,5366.100000000093,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people11,,13,,,true,5360.800000000047,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people2,,14,,,true,745.6999999999534,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people22,,15,,,true,743.3999999999069,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people7,,16,,,true,1299.1999999999534,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people77,,17,,,true,1297.0999999998603,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people4,2,18,1830.6999999999534,1830.6999999999534,,3031,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people44,6,19,2822.1999999999534,2822.1999999999534,,3028.8000000000466,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people3,2,20,1132.7999999998137,1132.7999999998137,,4965.5,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people33,6,21,2303.3000000002794,2303.3000000002794,,4963.399999999907,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people8,,22,,,true,3490.100000000093,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people88,,23,,,true,3487.600000000093,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people5,2,24,6325.399999999907,6325.399999999907,,7764.200000000186,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people55,7,25,7579.5,7579.5,,7762,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people6,2,26,913.3000000002794,913.3000000002794,,6389.800000000279,,,,,,,,,
69a6f6821b8d6ced79dcb32f0d402e0795e09df5,socioRateImagesSizes,,,people66,7,27,6168,6168,,6386.800000000279,,,,,,,,,
